"filename", "language", "Rust", "TOML", "comment", "blank", "total"
"c:\code\kionas\worker\Cargo.toml", "TOML", 0, 49, 6, 7, 62
"c:\code\kionas\worker\build.rs", "Rust", 13, 0, 0, 1, 14
"c:\code\kionas\worker\src\authz.rs", "Rust", 255, 0, 111, 37, 403
"c:\code\kionas\worker\src\execution\aggregate\aggregate_avg.rs", "Rust", 21, 0, 27, 4, 52
"c:\code\kionas\worker\src\execution\aggregate\aggregate_count.rs", "Rust", 8, 0, 16, 2, 26
"c:\code\kionas\worker\src\execution\aggregate\aggregate_max.rs", "Rust", 12, 0, 16, 2, 30
"c:\code\kionas\worker\src\execution\aggregate\aggregate_min.rs", "Rust", 12, 0, 16, 2, 30
"c:\code\kionas\worker\src\execution\aggregate\aggregate_sum.rs", "Rust", 8, 0, 16, 2, 26
"c:\code\kionas\worker\src\execution\aggregate\mod.rs", "Rust", 608, 0, 16, 33, 657
"c:\code\kionas\worker\src\execution\artifacts.rs", "Rust", 172, 0, 56, 27, 255
"c:\code\kionas\worker\src\execution\join.rs", "Rust", 382, 0, 46, 47, 475
"c:\code\kionas\worker\src\execution\mod.rs", "Rust", 10, 0, 0, 1, 11
"c:\code\kionas\worker\src\execution\pipeline.rs", "Rust", 1810, 0, 358, 205, 2373
"c:\code\kionas\worker\src\execution\planner.rs", "Rust", 574, 0, 95, 47, 716
"c:\code\kionas\worker\src\execution\query.rs", "Rust", 531, 0, 157, 72, 760
"c:\code\kionas\worker\src\execution\router.rs", "Rust", 444, 0, 75, 60, 579
"c:\code\kionas\worker\src\execution\window.rs", "Rust", 278, 0, 14, 35, 327
"c:\code\kionas\worker\src\execution\window_frame.rs", "Rust", 64, 0, 22, 10, 96
"c:\code\kionas\worker\src\execution\window_functions.rs", "Rust", 205, 0, 33, 15, 253
"c:\code\kionas\worker\src\flight\client_pool.rs", "Rust", 129, 0, 64, 19, 212
"c:\code\kionas\worker\src\flight\conversion.rs", "Rust", 106, 0, 67, 17, 190
"c:\code\kionas\worker\src\flight\mod.rs", "Rust", 3, 0, 0, 1, 4
"c:\code\kionas\worker\src\flight\server.rs", "Rust", 1452, 0, 231, 177, 1860
"c:\code\kionas\worker\src\init.rs", "Rust", 91, 0, 10, 18, 119
"c:\code\kionas\worker\src\interops\client.rs", "Rust", 75, 0, 2, 3, 80
"c:\code\kionas\worker\src\interops\manager.rs", "Rust", 55, 0, 0, 6, 61
"c:\code\kionas\worker\src\interops\mod.rs", "Rust", 3, 0, 0, 2, 5
"c:\code\kionas\worker\src\lib.rs", "Rust", 13, 0, 0, 3, 16
"c:\code\kionas\worker\src\main.rs", "Rust", 132, 0, 25, 17, 174
"c:\code\kionas\worker\src\services\interops_service_client.rs", "Rust", 9, 0, 1, 3, 13
"c:\code\kionas\worker\src\services\mod.rs", "Rust", 4, 0, 0, 1, 5
"c:\code\kionas\worker\src\services\query.rs", "Rust", 2, 0, 0, 2, 4
"c:\code\kionas\worker\src\services\query_execution.rs", "Rust", 1535, 0, 274, 196, 2005
"c:\code\kionas\worker\src\services\worker_service_server.rs", "Rust", 432, 0, 26, 53, 511
"c:\code\kionas\worker\src\state\mod.rs", "Rust", 214, 0, 2, 24, 240
"c:\code\kionas\worker\src\storage\deltalake.rs", "Rust", 222, 0, 15, 25, 262
"c:\code\kionas\worker\src\storage\exchange.rs", "Rust", 63, 0, 46, 8, 117
"c:\code\kionas\worker\src\storage\minio.rs", "Rust", 241, 0, 31, 22, 294
"c:\code\kionas\worker\src\storage\minio_pool.rs", "Rust", 89, 0, 53, 14, 156
"c:\code\kionas\worker\src\storage\mock.rs", "Rust", 59, 0, 0, 8, 67
"c:\code\kionas\worker\src\storage\mod.rs", "Rust", 92, 0, 2, 8, 102
"c:\code\kionas\worker\src\storage\object_store_adapter.rs", "Rust", 52, 0, 6, 5, 63
"c:\code\kionas\worker\src\storage\object_store_pool.rs", "Rust", 30, 0, 22, 6, 58
"c:\code\kionas\worker\src\storage\staging.rs", "Rust", 90, 0, 6, 10, 106
"c:\code\kionas\worker\src\telemetry\mod.rs", "Rust", 62, 0, 52, 11, 125
"c:\code\kionas\worker\src\tests\authz_tests.rs", "Rust", 32, 0, 0, 6, 38
"c:\code\kionas\worker\src\tests\execution_aggregate_mod_tests.rs", "Rust", 210, 0, 0, 18, 228
"c:\code\kionas\worker\src\tests\execution_is_operator_tests.rs", "Rust", 64, 0, 174, 19, 257
"c:\code\kionas\worker\src\tests\execution_join_tests.rs", "Rust", 121, 0, 0, 21, 142
"c:\code\kionas\worker\src\tests\execution_pipeline_tests.rs", "Rust", 1066, 0, 0, 155, 1221
"c:\code\kionas\worker\src\tests\execution_planner_tests.rs", "Rust", 172, 0, 0, 22, 194
"c:\code\kionas\worker\src\tests\execution_query_tests.rs", "Rust", 647, 0, 0, 38, 685
"c:\code\kionas\worker\src\tests\execution_type_coercion_tests.rs", "Rust", 297, 0, 49, 33, 379
"c:\code\kionas\worker\src\tests\flight_client_pool_tests.rs", "Rust", 34, 0, 1, 5, 40
"c:\code\kionas\worker\src\tests\flight_conversion_tests.rs", "Rust", 147, 0, 7, 29, 183
"c:\code\kionas\worker\src\tests\flight_server_tests.rs", "Rust", 1167, 0, 16, 169, 1352
"c:\code\kionas\worker\src\tests\router_tests.rs", "Rust", 164, 0, 0, 25, 189
"c:\code\kionas\worker\src\tests\services_query_execution_tests.rs", "Rust", 504, 0, 0, 55, 559
"c:\code\kionas\worker\src\tests\services_worker_service_server_tests.rs", "Rust", 114, 0, 0, 17, 131
